Clock frequency is approx. 3158.4 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
64m	5677.0	3133.0	2174.4	1605.9	1254.0	1056.9	930.6	818.2	729.9	658.5	599.2	552.0	505.2	470.7	438.2	407.7	
32m	5779.4	3144.7	2183.3	1615.3	1263.9	1063.3	933.6	825.8	737.3	662.4	602.6	552.6	508.8	471.1	437.8	410.1	
16m	5791.9	3149.3	2186.9	1618.8	1267.0	1067.9	934.8	827.5	737.9	662.9	602.0	553.2	510.0	472.4	439.9	410.3	
8m	5859.3	3290.6	2335.4	1780.7	1411.9	1196.1	1053.3	937.8	837.1	762.2	694.4	637.3	588.3	546.9	508.4	474.7	
4m	8333.8	6742.4	5458.0	4974.3	4863.7	4584.3	4232.9	3887.2	3564.3	3270.1	3084.9	2892.9	2722.6	2556.6	2436.1	2316.8	
2m	8625.4	6981.0	5734.7	5313.7	5284.3	5005.7	4648.7	4303.2	3941.6	3660.9	3433.3	3219.4	3049.9	2882.0	2738.5	2608.6	
1024k	8678.5	6872.4	5778.4	5362.5	5345.1	5037.8	4680.5	4329.5	3969.9	3682.4	3455.3	3249.1	3068.9	2902.8	2758.5	2624.4	
512k	8472.4	6935.5	5784.1	5363.9	5363.2	5055.8	4687.6	4355.0	3986.6	3695.2	3459.7	3249.5	3072.3	2908.2	2758.8	2633.3	
256k	8673.6	6929.0	5780.1	5360.0	5353.2	5043.4	4685.9	4336.8	3967.1	3678.9	3467.2	3234.9	3075.1	2908.9	2761.4	2631.4	
128k	8589.7	6921.2	5777.7	5350.7	5383.2	5022.5	4670.1	4336.8	3955.6	3683.3	3474.8	3236.3	3080.7	2884.5	2745.8	2623.8	
64k	8615.1	6894.9	5763.9	5329.7	5379.7	5001.5	4645.5	4323.0	3935.6	3625.3	3450.3	3202.3	3074.8	2871.3	2720.1	2628.9	
32k	8625.1	8458.1	8069.1	8010.3	8068.9	7825.7	7668.2	7605.3	7563.4	7210.3	7388.5	7439.4	7037.2	6767.9	6849.9	6808.8	
16k	8701.3	8592.9	8446.5	8351.6	8251.0	8172.8	8103.7	8015.3	7961.5	7779.5	7864.2	7698.5	7480.3	7619.1	7563.4	7400.8	
8k	8592.9	8351.6	8180.6	8015.3	7779.5	7698.5	7480.3	7400.8	7388.4	7165.4	7077.8	7085.5	6981.6	6718.7	6736.2	6546.9	
4k	8357.0	8005.3	7698.5	7400.8	7165.4	6881.8	6946.0	6546.9	6592.0	6180.7	5904.1	5983.3	5527.1	5728.2	5672.6	5319.3	
2k	8105.7	7400.8	7085.5	6546.9	6180.7	5983.3	5728.2	5319.3	5390.6	4537.4	4417.0	4365.2	4349.7	4044.9	4130.2	3850.2	
1k	7400.8	6546.9	5983.3	5319.3	4537.4	4365.2	4044.9	3887.2	3431.7	3391.1	3455.6	3532.4	2593.2	3493.3	2526.7	3062.6	
