Clock frequency is approx. 2793.1 MHz
Memory mountain (MB/sec)
	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	
64m	5104.6	4740.2	3947.9	3244.9	2805.9	2365.2	2049.4	1793.6	1597.4	1437.3	1306.9	1200.2	1101.8	1026.4	953.5	891.9	
32m	5169.7	4755.1	3965.9	3264.5	2825.7	2380.8	2059.3	1804.8	1603.0	1443.2	1313.3	1205.8	1111.3	1030.4	959.8	895.4	
16m	5180.7	4765.8	4002.1	3274.4	2861.0	2411.1	2082.8	1827.6	1625.7	1464.5	1331.0	1224.3	1130.6	1045.8	971.1	908.7	
8m	5343.4	5125.0	4702.1	3948.6	3469.9	2988.2	2672.4	2457.6	2235.0	2045.5	1873.0	1730.9	1603.9	1491.4	1394.1	1305.0	
4m	5554.5	5547.0	5432.2	4851.4	4153.9	3501.7	3272.2	3267.4	3133.3	2950.9	2748.8	2552.8	2384.2	2234.3	2098.2	1978.6	
2m	5579.4	5571.8	5459.8	4989.5	4227.7	3558.8	3336.9	3372.1	3214.4	3035.4	2833.1	2634.3	2450.6	2289.7	2143.4	2021.8	
1024k	5582.5	5577.4	5475.2	5020.6	4233.3	3559.1	3339.8	3385.3	3225.1	3046.5	2843.9	2647.3	2459.6	2295.6	2150.4	2032.9	
512k	5582.2	5576.6	5460.4	4988.6	4269.9	3568.7	3351.7	3392.1	3231.5	3049.5	2848.7	2641.2	2459.7	2297.9	2149.2	2026.0	
256k	5584.4	5571.3	5535.9	5194.4	4776.9	4461.6	4262.5	4092.6	3959.3	3680.9	3496.0	3236.6	3056.9	2856.0	2727.6	2711.7	
128k	5583.6	5581.5	5577.4	5351.1	5017.8	4944.6	4873.2	4605.8	4256.7	4039.0	3701.1	3406.3	3195.7	2991.9	2857.9	2923.0	
64k	5581.5	5575.4	5569.2	5358.7	4998.6	4975.0	4889.6	4646.9	4294.1	4078.3	3704.1	3457.3	3256.3	3046.3	2936.3	2995.0	
32k	5575.4	5564.6	5554.8	5543.0	5526.4	5518.6	5502.8	5500.4	5466.2	5459.6	5458.0	5462.2	5447.9	5410.6	5427.3	5417.0	
16k	5567.3	5548.4	5518.6	5500.4	5472.7	5462.2	5428.5	5437.6	5408.0	5395.3	5359.5	5324.9	5300.3	5305.2	5258.8	5257.7	
8k	5543.0	5511.0	5462.2	5437.6	5369.9	5354.8	5305.2	5257.7	5251.6	5199.1	5143.8	5120.8	5056.6	5043.2	4951.5	5035.5	
4k	5511.0	5417.0	5324.9	5257.7	5199.1	5066.3	5043.2	5035.5	4964.4	4840.7	4810.4	4668.9	4680.0	4634.1	4538.9	4583.6	
2k	5396.6	5296.6	5066.3	4965.6	4840.7	4668.9	4634.1	4583.6	4171.3	3957.0	3935.8	3709.7	3654.4	3641.1	3391.7	3437.7	
1k	5181.5	5035.5	4762.3	4583.6	3957.0	3829.3	3641.1	3437.7	3287.8	3237.5	3417.9	2697.9	2866.7	3185.9	2499.1	2979.4	
